"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2030 04:00:00.000,1 Jan 2030 04:14:26.700,866.700
2,1 Jan 2030 05:09:50.211,1 Jan 2030 06:28:46.624,4736.414
3,1 Jan 2030 06:52:23.224,1 Jan 2030 07:42:58.976,3035.753
4,1 Jan 2030 08:17:14.093,1 Jan 2030 09:33:26.846,4572.753
5,1 Jan 2030 10:29:05.739,1 Jan 2030 11:41:05.661,4319.922
6,1 Jan 2030 12:33:28.250,1 Jan 2030 14:55:14.912,8506.662
7,1 Jan 2030 15:46:46.974,1 Jan 2030 16:58:58.659,4331.685
8,1 Jan 2030 17:54:44.758,1 Jan 2030 19:09:53.318,4508.559
9,1 Jan 2030 19:48:49.693,1 Jan 2030 20:44:09.504,3319.812
10,1 Jan 2030 20:55:21.328,1 Jan 2030 22:18:24.705,4983.377
11,1 Jan 2030 23:13:35.389,2 Jan 2030 00:25:17.929,4302.540
12,2 Jan 2030 01:19:13.202,2 Jan 2030 03:42:13.671,8580.469
13,2 Jan 2030 04:30:38.632,2 Jan 2030 05:43:35.989,4377.358
14,2 Jan 2030 06:39:31.099,2 Jan 2030 07:52:56.962,4405.864
15,2 Jan 2030 08:39:23.302,2 Jan 2030 11:03:35.351,8652.049
16,2 Jan 2030 11:57:58.765,2 Jan 2030 13:09:38.629,4299.864
17,2 Jan 2030 14:04:32.188,2 Jan 2030 16:31:16.522,8804.334
18,2 Jan 2030 17:14:01.457,2 Jan 2030 18:28:19.099,4457.642
19,2 Jan 2030 19:24:10.926,2 Jan 2030 20:36:39.624,4348.698
20,2 Jan 2030 21:27:05.421,2 Jan 2030 23:49:06.267,8520.846
21,3 Jan 2030 00:42:14.366,3 Jan 2030 01:54:05.765,4311.399
22,3 Jan 2030 02:49:35.349,3 Jan 2030 04:07:33.944,4678.595
23,3 Jan 2030 04:34:54.805,3 Jan 2030 05:24:40.226,2985.422
24,3 Jan 2030 05:56:14.942,3 Jan 2030 07:13:09.211,4614.270
