"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2030 04:25:50.118,1 Jan 2030 05:54:48.139,5338.022
2,1 Jan 2030 06:57:55.859,1 Jan 2030 08:23:06.976,5111.117
3,1 Jan 2030 09:26:41.605,1 Jan 2030 10:49:42.933,4981.327
4,1 Jan 2030 12:01:07.559,1 Jan 2030 13:35:23.372,5655.813
5,1 Jan 2030 14:42:34.338,1 Jan 2030 16:04:26.450,4912.112
6,1 Jan 2030 17:07:27.486,1 Jan 2030 18:35:23.555,5276.068
7,1 Jan 2030 19:38:35.970,1 Jan 2030 21:05:05.834,5189.865
8,1 Jan 2030 22:08:20.972,1 Jan 2030 23:30:31.379,4930.407
9,2 Jan 2030 00:39:40.653,2 Jan 2030 02:15:03.495,5722.842
10,2 Jan 2030 03:23:57.331,2 Jan 2030 04:46:03.659,4926.328
11,2 Jan 2030 05:49:16.703,2 Jan 2030 07:15:56.987,5200.283
12,2 Jan 2030 08:19:09.707,2 Jan 2030 09:46:56.892,5267.184
13,2 Jan 2030 10:49:58.931,2 Jan 2030 12:11:50.993,4912.063
14,2 Jan 2030 13:19:13.094,2 Jan 2030 14:53:44.763,5671.669
15,2 Jan 2030 16:04:50.851,2 Jan 2030 17:27:43.040,4972.190
16,2 Jan 2030 18:31:14.368,2 Jan 2030 19:56:35.646,5121.278
17,2 Jan 2030 20:59:44.047,2 Jan 2030 22:28:36.628,5332.581
18,2 Jan 2030 23:31:31.537,3 Jan 2030 00:53:31.571,4920.034
19,3 Jan 2030 01:59:34.521,3 Jan 2030 03:31:35.242,5520.722
20,3 Jan 2030 04:45:02.059,3 Jan 2030 06:09:20.117,5058.058
21,3 Jan 2030 07:13:16.817,3 Jan 2030 08:37:24.741,5047.924
22,3 Jan 2030 09:40:26.392,3 Jan 2030 11:10:02.010,5375.617
23,3 Jan 2030 12:12:55.396,3 Jan 2030 13:35:25.458,4950.061
24,3 Jan 2030 14:40:30.373,3 Jan 2030 16:09:18.773,5328.399
25,3 Jan 2030 17:24:17.088,3 Jan 2030 18:50:49.397,5192.309
26,3 Jan 2030 19:55:20.167,3 Jan 2030 21:18:26.693,4986.526
27,3 Jan 2030 22:21:22.355,3 Jan 2030 23:51:11.116,5388.761
28,4 Jan 2030 00:54:07.793,4 Jan 2030 02:17:26.757,4998.963
29,4 Jan 2030 03:21:48.606,4 Jan 2030 04:47:45.845,5157.239
30,4 Jan 2030 06:02:31.515,4 Jan 2030 07:32:03.754,5372.239
31,4 Jan 2030 08:37:20.144,4 Jan 2030 09:59:41.439,4941.295
32,4 Jan 2030 11:02:34.550,4 Jan 2030 12:32:04.122,5369.571
33,4 Jan 2030 13:35:07.139,4 Jan 2030 14:59:30.661,5063.522
34,4 Jan 2030 16:03:20.255,4 Jan 2030 17:27:14.209,5033.954
35,4 Jan 2030 18:40:10.983,4 Jan 2030 20:12:53.584,5562.601
36,4 Jan 2030 21:19:11.754,4 Jan 2030 22:41:07.213,4915.459
37,4 Jan 2030 23:44:02.753,5 Jan 2030 01:12:44.153,5321.400
38,5 Jan 2030 02:15:53.682,5 Jan 2030 03:41:32.983,5139.301
39,5 Jan 2030 04:44:58.611,5 Jan 2030 06:07:36.029,4957.419
40,5 Jan 2030 07:18:09.347,5 Jan 2030 08:53:06.008,5696.660
41,5 Jan 2030 10:00:48.762,5 Jan 2030 11:22:41.220,4912.458
42,5 Jan 2030 12:25:44.853,5 Jan 2030 13:53:17.307,5252.454
43,5 Jan 2030 14:56:30.308,5 Jan 2030 16:23:29.847,5219.538
44,5 Jan 2030 17:26:38.395,5 Jan 2030 18:48:37.297,4918.902
45,5 Jan 2030 19:57:03.571,5 Jan 2030 21:32:26.093,5722.522
46,5 Jan 2030 22:42:02.958,6 Jan 2030 00:04:20.000,4937.041
47,6 Jan 2030 01:07:37.734,6 Jan 2030 02:33:51.181,5173.447
48,6 Jan 2030 03:37:02.731,6 Jan 2030 05:05:17.555,5294.825
49,6 Jan 2030 06:08:15.242,6 Jan 2030 07:30:05.825,4910.584
50,6 Jan 2030 08:36:55.353,6 Jan 2030 10:10:45.969,5630.616
51,6 Jan 2030 11:22:43.354,6 Jan 2030 12:45:59.518,4996.164
52,6 Jan 2030 13:49:37.855,6 Jan 2030 15:14:32.571,5094.716
53,6 Jan 2030 16:17:38.460,6 Jan 2030 17:46:52.674,5354.214
54,6 Jan 2030 18:49:45.383,6 Jan 2030 20:11:52.370,4926.987
55,6 Jan 2030 21:17:31.064,6 Jan 2030 22:48:26.237,5455.174
56,7 Jan 2030 00:02:36.105,7 Jan 2030 01:27:34.974,5098.869
57,7 Jan 2030 02:31:41.457,7 Jan 2030 03:55:25.769,5024.312
58,7 Jan 2030 04:58:24.616,7 Jan 2030 06:28:12.420,5387.804
59,7 Jan 2030 07:31:05.606,7 Jan 2030 08:53:49.960,4964.355
60,7 Jan 2030 09:58:36.602,7 Jan 2030 11:26:19.651,5263.049
61,7 Jan 2030 12:41:28.570,7 Jan 2030 14:09:00.366,5251.797
62,7 Jan 2030 15:13:44.531,7 Jan 2030 16:36:32.243,4967.712
63,7 Jan 2030 17:39:25.874,7 Jan 2030 19:09:15.447,5389.573
64,7 Jan 2030 20:12:13.488,7 Jan 2030 21:35:53.148,5019.660
65,7 Jan 2030 22:40:01.021,8 Jan 2030 00:05:07.783,5106.762
66,8 Jan 2030 01:19:24.486,8 Jan 2030 02:50:07.787,5443.301
67,8 Jan 2030 03:55:42.585,8 Jan 2030 05:17:51.206,4928.621
68,8 Jan 2030 06:20:43.777,8 Jan 2030 07:50:02.889,5359.111
69,8 Jan 2030 08:53:07.956,8 Jan 2030 10:17:57.385,5089.429
70,8 Jan 2030 11:21:36.237,8 Jan 2030 12:44:56.666,5000.430
71,8 Jan 2030 13:57:03.006,8 Jan 2030 15:30:46.458,5623.452
72,8 Jan 2030 16:37:30.247,8 Jan 2030 17:59:20.425,4910.178
