"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2030 04:00:00.000,1 Jan 2030 08:53:21.450,17601.450
2,1 Jan 2030 17:06:14.123,1 Jan 2030 22:08:44.941,18150.819
3,2 Jan 2030 06:21:00.852,2 Jan 2030 11:24:07.458,18186.606
4,2 Jan 2030 19:35:58.537,3 Jan 2030 00:39:28.582,18210.045
5,3 Jan 2030 08:51:04.956,3 Jan 2030 13:54:47.278,18222.322
6,3 Jan 2030 22:06:17.936,4 Jan 2030 03:10:02.014,18224.078
7,4 Jan 2030 11:21:35.485,4 Jan 2030 16:25:10.891,18215.406
8,5 Jan 2030 00:36:55.933,5 Jan 2030 05:40:11.785,18195.852
9,5 Jan 2030 13:52:18.063,5 Jan 2030 18:55:02.479,18164.416
10,6 Jan 2030 03:07:41.236,6 Jan 2030 08:09:40.785,18119.549
11,6 Jan 2030 16:23:05.497,6 Jan 2030 21:24:04.638,18059.140
12,7 Jan 2030 05:38:31.695,7 Jan 2030 10:38:12.171,17980.476
13,7 Jan 2030 18:54:01.550,7 Jan 2030 23:52:01.728,17880.178
14,8 Jan 2030 08:09:37.784,8 Jan 2030 13:05:31.869,17754.085
15,8 Jan 2030 21:25:24.267,9 Jan 2030 02:18:41.315,17597.048
16,9 Jan 2030 10:41:26.225,9 Jan 2030 15:31:28.858,17402.633
17,9 Jan 2030 23:57:50.568,10 Jan 2030 04:43:53.228,17162.659
18,10 Jan 2030 13:14:46.368,10 Jan 2030 17:55:52.897,16866.529
19,11 Jan 2030 02:32:25.653,11 Jan 2030 07:07:25.772,16500.119
20,11 Jan 2030 15:51:04.602,11 Jan 2030 20:18:28.746,16044.144
21,12 Jan 2030 05:11:05.535,12 Jan 2030 09:28:56.906,15471.371
22,12 Jan 2030 18:33:00.276,12 Jan 2030 22:38:42.102,14741.826
23,13 Jan 2030 07:57:36.210,13 Jan 2030 11:47:30.023,13793.813
24,13 Jan 2030 21:26:08.251,14 Jan 2030 00:54:53.388,12525.138
25,14 Jan 2030 11:00:46.727,14 Jan 2030 13:59:52.664,10745.937
26,15 Jan 2030 00:46:09.107,15 Jan 2030 02:59:38.457,8009.350
27,15 Jan 2030 15:09:31.201,15 Jan 2030 15:29:41.054,1209.853
28,19 Jan 2030 14:18:06.734,19 Jan 2030 15:55:55.849,5869.115
29,20 Jan 2030 03:11:47.864,20 Jan 2030 05:51:04.399,9556.535
30,20 Jan 2030 16:14:47.515,20 Jan 2030 19:30:10.245,11722.730
31,21 Jan 2030 05:21:10.395,21 Jan 2030 09:01:22.645,13212.250
32,21 Jan 2030 18:29:21.105,21 Jan 2030 22:27:44.131,14303.026
33,22 Jan 2030 07:38:40.319,22 Jan 2030 11:50:51.811,15131.492
34,22 Jan 2030 20:48:48.566,23 Jan 2030 01:11:44.638,15776.073
35,23 Jan 2030 09:59:35.152,23 Jan 2030 14:31:01.164,16286.012
36,23 Jan 2030 23:10:53.797,24 Jan 2030 03:49:07.878,16694.081
37,24 Jan 2030 12:22:40.624,24 Jan 2030 17:06:23.702,17023.078
38,25 Jan 2030 01:34:53.109,25 Jan 2030 06:23:02.528,17289.418
39,25 Jan 2030 14:47:29.478,25 Jan 2030 19:39:14.777,17505.299
40,26 Jan 2030 04:00:28.369,26 Jan 2030 08:55:08.358,17679.989
41,26 Jan 2030 17:13:48.559,26 Jan 2030 22:10:49.282,17820.723
42,27 Jan 2030 06:27:28.816,27 Jan 2030 11:26:22.056,17933.240
43,27 Jan 2030 19:41:27.780,28 Jan 2030 00:41:49.948,18022.168
44,28 Jan 2030 08:55:43.910,28 Jan 2030 13:57:15.161,18091.251
45,28 Jan 2030 22:10:15.443,29 Jan 2030 00:00:00.000,6584.557

