"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2030 04:00:00.000,1 Jan 2030 15:30:56.126,41456.126
2,1 Jan 2030 16:22:36.875,2 Jan 2030 04:37:31.800,44094.925
3,2 Jan 2030 05:34:46.943,2 Jan 2030 17:47:28.598,43961.654
4,2 Jan 2030 18:44:14.706,3 Jan 2030 06:59:02.603,44087.897
5,3 Jan 2030 07:52:15.623,3 Jan 2030 20:11:19.731,44344.108
6,3 Jan 2030 20:59:22.635,4 Jan 2030 09:23:47.069,44664.434
7,4 Jan 2030 10:05:53.134,4 Jan 2030 22:36:03.651,45010.517
8,4 Jan 2030 23:11:57.279,5 Jan 2030 11:47:56.617,45359.338
9,5 Jan 2030 12:17:41.228,6 Jan 2030 00:59:19.355,45698.128
10,6 Jan 2030 01:23:08.519,6 Jan 2030 14:10:10.830,46022.311
11,6 Jan 2030 14:28:20.337,7 Jan 2030 03:20:36.633,46336.296
12,7 Jan 2030 03:33:13.901,7 Jan 2030 16:31:00.444,46666.543
13,7 Jan 2030 16:37:30.594,11 Jan 2030 12:18:41.869,330071.275
14,11 Jan 2030 12:24:53.032,12 Jan 2030 01:22:50.423,46677.390
15,12 Jan 2030 01:34:42.466,12 Jan 2030 14:27:32.474,46370.008
16,12 Jan 2030 14:44:21.370,13 Jan 2030 03:32:29.024,46087.654
17,13 Jan 2030 03:54:11.991,13 Jan 2030 16:37:36.414,45804.423
18,13 Jan 2030 17:04:20.100,14 Jan 2030 05:42:54.387,45514.287
19,14 Jan 2030 06:14:46.956,14 Jan 2030 18:48:24.270,45217.314
20,14 Jan 2030 19:25:31.054,15 Jan 2030 07:54:08.646,44917.592
21,15 Jan 2030 08:36:28.361,15 Jan 2030 21:00:11.561,44623.200
22,15 Jan 2030 21:47:31.907,16 Jan 2030 10:06:39.212,44347.305
23,16 Jan 2030 10:58:30.834,16 Jan 2030 23:13:41.361,44110.526
24,17 Jan 2030 00:09:08.543,17 Jan 2030 12:21:34.335,43945.792
25,17 Jan 2030 13:18:59.010,18 Jan 2030 01:30:48.526,43909.516
26,18 Jan 2030 02:27:18.288,18 Jan 2030 14:42:32.286,44113.998
27,18 Jan 2030 15:32:38.968,19 Jan 2030 04:00:59.773,44900.805
28,19 Jan 2030 04:30:19.535,28 Jan 2030 07:41:20.008,789060.473
29,28 Jan 2030 08:07:12.247,28 Jan 2030 20:37:26.847,45014.599
30,28 Jan 2030 21:28:09.452,29 Jan 2030 00:00:00.000,9110.548

