"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2030 04:00:00.000,1 Jan 2030 11:51:42.992,28302.992
2,1 Jan 2030 15:14:48.345,2 Jan 2030 00:54:15.634,34767.289
3,2 Jan 2030 04:17:28.774,2 Jan 2030 13:56:49.049,34760.275
4,2 Jan 2030 17:20:05.356,3 Jan 2030 02:59:24.596,34759.240
5,3 Jan 2030 06:22:39.413,3 Jan 2030 16:02:03.620,34764.207
6,3 Jan 2030 19:25:12.300,4 Jan 2030 05:04:47.405,34775.105
7,4 Jan 2030 08:27:45.355,4 Jan 2030 18:07:37.150,34791.795
8,4 Jan 2030 21:30:19.871,5 Jan 2030 07:10:33.911,34814.040
9,5 Jan 2030 10:32:57.052,5 Jan 2030 20:13:38.577,34841.525
10,5 Jan 2030 23:35:37.997,6 Jan 2030 09:16:51.850,34873.853
11,6 Jan 2030 12:38:23.673,6 Jan 2030 22:20:14.223,34910.549
12,7 Jan 2030 01:41:14.912,7 Jan 2030 11:23:45.978,34951.066
13,7 Jan 2030 14:44:12.396,8 Jan 2030 00:27:27.190,34994.794
14,8 Jan 2030 03:47:16.669,8 Jan 2030 13:31:17.731,35041.062
15,8 Jan 2030 16:50:28.140,9 Jan 2030 02:35:17.289,35089.148
16,9 Jan 2030 05:53:47.089,9 Jan 2030 15:39:25.401,35138.313
17,9 Jan 2030 18:57:13.679,10 Jan 2030 04:43:41.450,35187.771
18,10 Jan 2030 08:00:47.963,10 Jan 2030 17:48:04.702,35236.739
19,10 Jan 2030 21:04:29.910,11 Jan 2030 06:52:34.349,35284.439
20,11 Jan 2030 10:08:19.394,11 Jan 2030 19:57:09.497,35330.103
21,11 Jan 2030 23:12:16.217,12 Jan 2030 09:01:49.217,35373.000
22,12 Jan 2030 12:16:20.110,12 Jan 2030 22:06:32.551,35412.441
23,13 Jan 2030 01:20:30.741,13 Jan 2030 11:11:18.532,35447.791
24,13 Jan 2030 14:24:47.719,14 Jan 2030 00:16:06.200,35478.481
25,14 Jan 2030 03:29:10.595,14 Jan 2030 13:20:54.615,35504.019
26,14 Jan 2030 16:33:38.869,15 Jan 2030 02:25:42.864,35523.995
27,15 Jan 2030 05:38:11.977,15 Jan 2030 15:30:30.074,35538.097
28,15 Jan 2030 18:42:49.315,16 Jan 2030 04:35:15.406,35546.091
29,16 Jan 2030 07:47:30.221,16 Jan 2030 17:39:58.086,35547.865
30,16 Jan 2030 20:52:13.983,17 Jan 2030 06:44:37.379,35543.395
31,17 Jan 2030 09:56:59.842,17 Jan 2030 19:49:12.594,35532.752
32,17 Jan 2030 23:01:46.991,18 Jan 2030 08:53:43.103,35516.113
33,18 Jan 2030 12:06:34.581,18 Jan 2030 21:58:08.345,35493.764
34,19 Jan 2030 01:11:21.729,19 Jan 2030 11:02:27.786,35466.057
35,19 Jan 2030 14:16:07.520,20 Jan 2030 00:06:40.964,35433.443
36,20 Jan 2030 03:20:51.020,20 Jan 2030 13:10:47.477,35396.457
37,20 Jan 2030 16:25:31.284,21 Jan 2030 02:14:46.970,35355.686
38,21 Jan 2030 05:30:07.376,21 Jan 2030 15:18:39.158,35311.783
39,21 Jan 2030 18:34:38.377,22 Jan 2030 04:22:23.821,35265.444
40,22 Jan 2030 07:39:03.406,22 Jan 2030 17:26:00.811,35217.405
41,22 Jan 2030 20:43:21.640,23 Jan 2030 06:29:30.061,35168.420
42,23 Jan 2030 09:47:32.338,23 Jan 2030 19:32:51.591,35119.253
43,23 Jan 2030 22:51:34.859,24 Jan 2030 08:36:05.530,35070.671
44,24 Jan 2030 11:55:28.694,24 Jan 2030 21:39:12.105,35023.412
45,25 Jan 2030 00:59:13.470,25 Jan 2030 10:42:11.672,34978.202
46,25 Jan 2030 14:02:48.996,25 Jan 2030 23:45:04.723,34935.727
47,26 Jan 2030 03:06:15.264,26 Jan 2030 12:47:51.878,34896.613
48,26 Jan 2030 16:09:32.465,27 Jan 2030 01:50:33.909,34861.444
49,27 Jan 2030 05:12:40.995,27 Jan 2030 14:53:11.729,34830.734
50,27 Jan 2030 18:15:41.449,28 Jan 2030 03:55:46.386,34804.937
51,28 Jan 2030 07:18:34.617,28 Jan 2030 16:58:19.049,34784.432
52,28 Jan 2030 20:21:21.475,29 Jan 2030 00:00:00.000,13118.525

