"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2030 04:00:00.000,1 Jan 2030 05:21:41.777,4901.777
2,1 Jan 2030 06:10:36.942,1 Jan 2030 07:40:57.847,5420.906
3,1 Jan 2030 08:29:43.744,1 Jan 2030 09:57:10.484,5246.741
4,1 Jan 2030 10:52:23.845,1 Jan 2030 12:12:46.005,4822.160
5,1 Jan 2030 14:21:15.833,1 Jan 2030 15:40:25.576,4749.744
6,1 Jan 2030 16:37:55.716,1 Jan 2030 18:04:11.485,5175.768
7,1 Jan 2030 18:53:42.588,1 Jan 2030 20:23:56.980,5414.392
8,1 Jan 2030 21:12:19.378,1 Jan 2030 22:40:32.633,5293.256
9,1 Jan 2030 23:34:19.915,2 Jan 2030 00:55:50.307,4890.392
10,2 Jan 2030 03:02:11.599,2 Jan 2030 04:21:40.169,4768.570
11,2 Jan 2030 05:21:20.993,2 Jan 2030 06:46:36.740,5115.747
12,2 Jan 2030 07:36:52.332,2 Jan 2030 09:06:51.705,5399.373
13,2 Jan 2030 09:54:59.545,2 Jan 2030 11:23:52.559,5333.014
14,2 Jan 2030 12:16:25.476,2 Jan 2030 13:39:05.308,4959.832
15,2 Jan 2030 14:48:07.480,2 Jan 2030 17:02:13.425,8045.945
16,2 Jan 2030 18:04:45.527,2 Jan 2030 19:28:57.177,5051.650
17,2 Jan 2030 20:20:05.833,2 Jan 2030 21:49:41.986,5376.153
18,2 Jan 2030 22:37:44.282,3 Jan 2030 00:07:09.720,5365.438
19,3 Jan 2030 00:58:38.318,3 Jan 2030 02:22:25.918,5027.600
20,3 Jan 2030 03:26:08.554,3 Jan 2030 05:41:14.927,8106.373
21,3 Jan 2030 06:48:07.740,3 Jan 2030 08:11:12.109,4984.369
22,3 Jan 2030 09:03:22.686,3 Jan 2030 10:32:27.834,5345.148
23,3 Jan 2030 11:20:33.615,3 Jan 2030 12:50:23.665,5390.049
