"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2030 08:55:36.379,1 Jan 2030 13:51:40.873,17764.494
2,1 Jan 2030 22:17:43.847,2 Jan 2030 03:13:41.346,17757.499
3,2 Jan 2030 11:39:32.890,2 Jan 2030 16:35:53.661,17780.771
4,3 Jan 2030 01:00:53.181,3 Jan 2030 05:58:04.847,17831.666
5,3 Jan 2030 14:21:37.685,3 Jan 2030 19:20:02.371,17904.686
6,4 Jan 2030 03:41:43.077,4 Jan 2030 08:41:35.676,17992.599
7,4 Jan 2030 17:01:09.486,4 Jan 2030 22:02:37.151,18087.665
8,5 Jan 2030 06:19:59.823,5 Jan 2030 11:23:02.454,18182.631
9,5 Jan 2030 19:38:18.997,6 Jan 2030 00:42:50.306,18271.309
10,6 Jan 2030 08:56:13.153,6 Jan 2030 14:02:01.977,18348.824
11,6 Jan 2030 22:13:49.157,7 Jan 2030 03:20:40.685,18411.528
12,7 Jan 2030 11:31:14.182,7 Jan 2030 16:38:51.059,18456.876
13,8 Jan 2030 00:48:35.477,8 Jan 2030 05:56:38.668,18483.192
14,8 Jan 2030 14:06:00.231,8 Jan 2030 19:14:09.731,18489.500
15,9 Jan 2030 03:23:35.484,9 Jan 2030 08:31:30.913,18475.429
16,9 Jan 2030 16:41:28.034,9 Jan 2030 21:48:49.193,18441.159
17,10 Jan 2030 05:59:44.307,10 Jan 2030 11:06:11.797,18387.489
18,10 Jan 2030 19:18:30.148,11 Jan 2030 00:23:46.087,18315.939
19,11 Jan 2030 08:37:50.482,11 Jan 2030 13:41:39.461,18228.979
20,11 Jan 2030 21:57:48.842,12 Jan 2030 02:59:59.104,18130.262
21,12 Jan 2030 11:18:26.782,12 Jan 2030 16:18:51.603,18024.821
22,13 Jan 2030 00:39:43.163,13 Jan 2030 05:38:22.365,17919.202
23,13 Jan 2030 14:01:33.569,13 Jan 2030 18:58:34.793,17821.225
24,14 Jan 2030 03:23:50.009,14 Jan 2030 08:19:29.413,17739.403
25,14 Jan 2030 16:46:21.216,14 Jan 2030 21:41:03.048,17681.832
26,15 Jan 2030 06:08:53.680,15 Jan 2030 11:03:08.456,17654.776
27,15 Jan 2030 19:31:13.346,16 Jan 2030 00:25:34.695,17661.349
28,16 Jan 2030 08:53:07.562,16 Jan 2030 13:48:08.344,17700.783
29,16 Jan 2030 22:14:26.720,17 Jan 2030 03:10:35.335,17768.615
30,17 Jan 2030 11:35:05.158,17 Jan 2030 16:32:42.854,17857.696
31,18 Jan 2030 00:55:01.209,18 Jan 2030 05:54:20.824,17959.616
32,18 Jan 2030 14:14:16.622,18 Jan 2030 19:15:22.646,18066.024
33,19 Jan 2030 03:32:55.686,19 Jan 2030 08:35:45.234,18169.547
34,19 Jan 2030 16:51:04.350,19 Jan 2030 21:55:28.572,18264.222
35,20 Jan 2030 06:08:49.479,20 Jan 2030 11:14:35.057,18345.578
36,20 Jan 2030 19:26:18.384,21 Jan 2030 00:33:08.829,18410.445
37,21 Jan 2030 08:43:38.471,21 Jan 2030 13:51:15.227,18456.756
38,21 Jan 2030 22:00:57.060,22 Jan 2030 03:09:00.347,18483.287
39,22 Jan 2030 11:18:21.282,22 Jan 2030 16:26:30.775,18489.493
40,23 Jan 2030 00:35:58.005,23 Jan 2030 05:43:53.416,18475.411
41,23 Jan 2030 13:53:53.734,23 Jan 2030 19:01:15.372,18441.638
42,24 Jan 2030 03:12:14.463,24 Jan 2030 08:18:43.873,18389.410
43,24 Jan 2030 16:31:05.438,24 Jan 2030 21:36:26.148,18320.710
44,25 Jan 2030 05:50:30.786,25 Jan 2030 10:54:29.276,18238.490
45,25 Jan 2030 19:10:33.030,26 Jan 2030 00:12:59.891,18146.861
46,26 Jan 2030 08:31:12.533,26 Jan 2030 13:32:03.733,18051.200
47,26 Jan 2030 21:52:26.863,27 Jan 2030 02:51:45.014,17958.151
48,27 Jan 2030 11:14:10.425,27 Jan 2030 16:12:05.654,17875.228
49,28 Jan 2030 00:36:14.402,28 Jan 2030 05:33:04.502,17810.100

