"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2030 06:02:46.504,1 Jan 2030 10:46:50.690,17044.186
2,1 Jan 2030 19:19:54.062,1 Jan 2030 23:59:19.430,16765.368
3,2 Jan 2030 08:38:37.201,2 Jan 2030 13:13:42.569,16505.368
4,2 Jan 2030 21:58:25.552,3 Jan 2030 02:30:05.220,16299.668
5,3 Jan 2030 11:18:33.610,3 Jan 2030 15:48:17.827,16184.217
6,4 Jan 2030 00:38:08.673,4 Jan 2030 05:07:51.229,16182.555
7,4 Jan 2030 13:56:24.053,4 Jan 2030 18:27:59.099,16295.045
8,5 Jan 2030 03:12:50.045,5 Jan 2030 07:47:48.715,16498.670
9,5 Jan 2030 16:27:16.577,5 Jan 2030 21:06:34.232,16757.654
10,6 Jan 2030 05:39:48.455,6 Jan 2030 10:23:44.824,17036.368
11,6 Jan 2030 18:50:38.287,6 Jan 2030 23:39:05.410,17307.123
12,7 Jan 2030 08:00:00.900,7 Jan 2030 12:52:32.771,17551.871
13,7 Jan 2030 21:08:10.185,8 Jan 2030 02:04:10.667,17760.482
14,8 Jan 2030 10:15:17.798,8 Jan 2030 15:14:05.919,17928.121
15,8 Jan 2030 23:21:32.846,9 Jan 2030 04:22:25.860,18053.014
16,9 Jan 2030 12:27:02.090,9 Jan 2030 17:29:16.938,18134.848
17,10 Jan 2030 01:31:50.164,10 Jan 2030 06:34:43.966,18173.803
18,10 Jan 2030 14:35:59.853,10 Jan 2030 19:38:49.861,18170.008
19,11 Jan 2030 03:39:32.264,11 Jan 2030 08:41:35.528,18123.265
20,11 Jan 2030 16:42:26.905,11 Jan 2030 21:42:59.900,18032.994
21,12 Jan 2030 05:44:41.672,12 Jan 2030 10:43:00.055,17898.383
22,12 Jan 2030 18:46:12.744,12 Jan 2030 23:41:31.490,17718.747
23,13 Jan 2030 07:46:54.398,13 Jan 2030 12:38:28.653,17494.255
24,13 Jan 2030 20:46:38.849,14 Jan 2030 01:33:45.905,17227.056
25,14 Jan 2030 09:45:16.123,14 Jan 2030 14:27:19.203,16923.081
26,14 Jan 2030 22:42:34.300,15 Jan 2030 03:19:08.665,16594.365
27,15 Jan 2030 11:38:20.498,15 Jan 2030 16:09:21.978,16261.479
28,16 Jan 2030 00:32:23.153,16 Jan 2030 04:58:17.899,15954.745
29,16 Jan 2030 13:24:36.061,16 Jan 2030 17:46:27.943,15711.883
30,17 Jan 2030 02:15:03.750,17 Jan 2030 06:34:34.043,15570.294
31,17 Jan 2030 15:04:05.920,17 Jan 2030 19:23:21.054,15555.134
32,18 Jan 2030 03:52:17.542,18 Jan 2030 08:13:26.806,15669.265
33,18 Jan 2030 16:40:22.733,18 Jan 2030 21:05:14.708,15891.975
34,19 Jan 2030 05:29:04.917,19 Jan 2030 09:58:52.477,16187.560
35,19 Jan 2030 18:18:58.414,19 Jan 2030 22:54:15.889,16517.475
36,20 Jan 2030 07:10:24.853,20 Jan 2030 11:51:14.185,16849.332
37,20 Jan 2030 20:03:34.192,21 Jan 2030 00:49:34.523,17160.332
38,21 Jan 2030 08:58:27.964,21 Jan 2030 13:49:04.643,17436.679
39,21 Jan 2030 21:55:02.821,22 Jan 2030 02:49:34.090,17671.269
40,22 Jan 2030 10:53:13.306,22 Jan 2030 15:50:54.573,17861.266
41,22 Jan 2030 23:52:53.753,23 Jan 2030 04:52:59.920,18006.166
42,23 Jan 2030 12:53:59.356,23 Jan 2030 17:55:45.890,18106.533
43,24 Jan 2030 01:56:26.803,24 Jan 2030 06:59:10.013,18163.209
44,24 Jan 2030 15:00:14.587,24 Jan 2030 20:03:11.423,18176.836
45,25 Jan 2030 04:05:23.157,25 Jan 2030 09:07:50.871,18147.714
46,25 Jan 2030 17:11:54.968,25 Jan 2030 22:13:10.749,18075.781
47,26 Jan 2030 06:19:54.420,26 Jan 2030 11:19:15.259,17960.839
48,26 Jan 2030 19:29:27.604,27 Jan 2030 00:26:10.646,17803.042
49,27 Jan 2030 08:40:41.734,27 Jan 2030 13:34:05.471,17603.737
50,27 Jan 2030 21:53:43.889,28 Jan 2030 02:43:10.804,17366.915

