"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2030 04:00:00.000,1 Jan 2030 04:57:39.792,3459.792
2,1 Jan 2030 05:52:58.052,1 Jan 2030 07:04:42.828,4304.776
3,1 Jan 2030 07:58:20.326,1 Jan 2030 10:20:55.195,8554.868
4,1 Jan 2030 11:10:11.736,1 Jan 2030 12:22:55.920,4364.184
5,1 Jan 2030 13:18:49.824,1 Jan 2030 14:32:33.224,4423.401
6,1 Jan 2030 15:17:41.209,1 Jan 2030 17:42:47.180,8705.971
7,1 Jan 2030 18:37:23.049,1 Jan 2030 19:49:01.954,4298.905
8,1 Jan 2030 20:43:44.220,1 Jan 2030 23:09:21.357,8737.137
9,1 Jan 2030 23:53:43.266,2 Jan 2030 01:07:37.741,4434.474
10,2 Jan 2030 02:03:31.124,2 Jan 2030 03:16:09.720,4358.596
11,2 Jan 2030 04:05:52.096,2 Jan 2030 06:28:12.695,8540.599
12,2 Jan 2030 07:21:40.719,2 Jan 2030 08:33:27.828,4307.109
13,2 Jan 2030 09:28:50.514,2 Jan 2030 10:48:08.541,4758.027
14,2 Jan 2030 11:10:37.640,2 Jan 2030 12:01:28.426,3050.786
15,2 Jan 2030 12:36:20.271,2 Jan 2030 13:52:26.198,4565.927
16,2 Jan 2030 14:48:06.550,2 Jan 2030 16:00:08.419,4321.869
17,2 Jan 2030 16:52:26.467,2 Jan 2030 19:14:09.099,8502.633
18,2 Jan 2030 20:05:48.415,2 Jan 2030 21:17:59.371,4330.956
19,2 Jan 2030 22:13:45.284,2 Jan 2030 23:29:01.925,4516.641
20,3 Jan 2030 00:07:30.112,3 Jan 2030 01:01:54.248,3264.136
21,3 Jan 2030 01:15:00.234,3 Jan 2030 02:37:23.360,4943.126
22,3 Jan 2030 03:32:36.286,3 Jan 2030 04:44:19.983,4303.697
23,3 Jan 2030 05:38:12.617,3 Jan 2030 08:01:03.633,8571.016
24,3 Jan 2030 08:49:40.648,3 Jan 2030 10:02:36.272,4375.623
25,3 Jan 2030 10:58:31.762,3 Jan 2030 12:12:02.156,4410.394
26,3 Jan 2030 12:58:14.844,3 Jan 2030 15:22:33.031,8658.187
27,3 Jan 2030 16:16:59.778,3 Jan 2030 17:28:40.148,4300.370
28,3 Jan 2030 18:23:32.223,3 Jan 2030 20:49:58.137,8785.914
29,3 Jan 2030 21:33:04.783,3 Jan 2030 22:47:18.914,4454.131
30,3 Jan 2030 23:43:11.687,4 Jan 2030 00:55:43.209,4351.522
31,4 Jan 2030 01:46:01.810,4 Jan 2030 04:08:02.451,8520.641
32,4 Jan 2030 05:01:15.566,4 Jan 2030 06:13:06.835,4311.269
33,4 Jan 2030 07:08:35.726,4 Jan 2030 08:26:51.233,4695.507
34,4 Jan 2030 08:53:16.399,4 Jan 2030 09:43:06.057,2989.658
35,4 Jan 2030 10:15:22.444,4 Jan 2030 11:32:08.465,4606.021
36,4 Jan 2030 12:27:45.816,4 Jan 2030 13:39:44.279,4318.463
37,4 Jan 2030 14:32:24.264,4 Jan 2030 16:54:06.112,8501.849
38,4 Jan 2030 17:45:20.571,4 Jan 2030 18:57:39.077,4338.506
39,4 Jan 2030 19:53:28.483,4 Jan 2030 21:08:22.479,4493.996
40,4 Jan 2030 21:48:41.195,5 Jan 2030 00:17:07.193,8905.998
41,5 Jan 2030 01:12:14.203,5 Jan 2030 02:23:57.292,4303.088
42,5 Jan 2030 03:18:03.902,5 Jan 2030 05:41:15.576,8591.674
43,5 Jan 2030 06:29:08.431,5 Jan 2030 07:42:16.710,4388.280
44,5 Jan 2030 08:38:13.398,5 Jan 2030 09:51:32.055,4398.656
45,5 Jan 2030 10:38:42.723,5 Jan 2030 13:02:19.367,8616.644
46,5 Jan 2030 13:56:36.146,5 Jan 2030 15:08:18.457,4302.310
47,5 Jan 2030 16:03:19.583,5 Jan 2030 18:30:42.941,8843.359
48,5 Jan 2030 19:12:23.947,5 Jan 2030 20:27:00.212,4476.265
49,5 Jan 2030 21:22:51.958,5 Jan 2030 22:35:17.138,4345.180
50,5 Jan 2030 23:26:08.655,6 Jan 2030 01:47:53.098,8504.443
51,6 Jan 2030 02:40:49.913,6 Jan 2030 03:52:45.914,4316.001
52,6 Jan 2030 04:48:20.470,6 Jan 2030 06:05:46.731,4646.261
53,6 Jan 2030 06:35:33.515,6 Jan 2030 07:25:01.321,2967.806
54,6 Jan 2030 07:54:16.557,6 Jan 2030 09:11:50.910,4654.353
55,6 Jan 2030 10:07:24.799,6 Jan 2030 11:19:20.389,4315.589
56,6 Jan 2030 12:12:20.511,6 Jan 2030 14:34:04.966,8504.456
57,6 Jan 2030 15:24:52.001,6 Jan 2030 16:37:18.872,4346.871
58,6 Jan 2030 17:33:11.330,6 Jan 2030 18:47:45.281,4473.951
59,6 Jan 2030 19:29:42.231,6 Jan 2030 21:56:51.334,8829.103
60,6 Jan 2030 22:51:51.805,7 Jan 2030 00:03:34.742,4302.937
61,7 Jan 2030 00:57:54.271,7 Jan 2030 03:21:31.620,8617.349
62,7 Jan 2030 04:08:34.952,7 Jan 2030 05:21:57.237,4402.285
63,7 Jan 2030 06:17:54.725,7 Jan 2030 07:31:02.793,4388.068
64,7 Jan 2030 08:19:05.505,7 Jan 2030 10:42:06.224,8580.719
65,7 Jan 2030 11:36:12.118,7 Jan 2030 12:47:56.861,4304.743
66,7 Jan 2030 13:43:06.340,7 Jan 2030 16:11:37.093,8910.753
67,7 Jan 2030 16:51:40.279,7 Jan 2030 18:06:41.643,4501.364
68,7 Jan 2030 19:02:31.953,7 Jan 2030 20:14:51.469,4339.516
69,7 Jan 2030 21:06:12.950,7 Jan 2030 23:27:44.754,8491.804
70,8 Jan 2030 00:20:23.743,8 Jan 2030 01:32:25.085,4321.342
71,8 Jan 2030 02:28:04.781,8 Jan 2030 03:44:50.618,4605.837
72,8 Jan 2030 04:17:33.000,8 Jan 2030 05:07:18.204,2985.204
73,8 Jan 2030 05:32:58.998,8 Jan 2030 06:51:33.549,4714.551
74,8 Jan 2030 07:47:03.482,8 Jan 2030 08:58:56.709,4313.228
75,8 Jan 2030 09:52:15.366,8 Jan 2030 12:14:05.926,8510.561
76,8 Jan 2030 13:04:22.617,8 Jan 2030 14:16:58.739,4356.122
77,8 Jan 2030 15:12:53.834,8 Jan 2030 16:27:09.937,4456.103
78,8 Jan 2030 17:10:34.232,8 Jan 2030 19:36:35.801,8761.569
79,8 Jan 2030 20:31:29.084,8 Jan 2030 21:43:12.338,4303.255
80,8 Jan 2030 22:37:43.798,9 Jan 2030 01:01:52.453,8648.655
81,9 Jan 2030 01:48:00.020,9 Jan 2030 03:01:37.870,4417.850
82,9 Jan 2030 03:57:35.749,9 Jan 2030 05:10:34.252,4378.503
83,9 Jan 2030 05:59:23.787,9 Jan 2030 08:21:53.680,8549.893
84,9 Jan 2030 09:15:47.683,9 Jan 2030 10:27:35.357,4307.674
85,9 Jan 2030 11:22:52.525,9 Jan 2030 12:45:18.682,4946.157
86,9 Jan 2030 12:58:54.409,9 Jan 2030 13:52:42.140,3227.731
87,9 Jan 2030 14:30:53.155,9 Jan 2030 15:46:23.203,4530.048
88,9 Jan 2030 16:42:11.655,9 Jan 2030 17:54:26.165,4334.510
89,9 Jan 2030 18:46:14.963,9 Jan 2030 21:07:37.565,8482.602
90,9 Jan 2030 21:59:57.001,9 Jan 2030 23:12:04.326,4327.325
91,10 Jan 2030 00:07:48.680,10 Jan 2030 01:24:00.447,4571.767
92,10 Jan 2030 01:59:17.143,10 Jan 2030 02:50:03.841,3046.698
93,10 Jan 2030 03:11:22.757,10 Jan 2030 04:31:16.413,4793.656
94,10 Jan 2030 05:26:41.876,10 Jan 2030 06:38:33.242,4311.366
95,10 Jan 2030 07:32:08.958,10 Jan 2030 09:54:09.328,8520.370
96,10 Jan 2030 10:43:52.351,10 Jan 2030 11:56:38.695,4366.344
97,10 Jan 2030 12:52:35.996,10 Jan 2030 14:06:36.142,4440.146
98,10 Jan 2030 14:51:18.150,10 Jan 2030 17:16:20.628,8702.478
99,10 Jan 2030 18:11:06.011,10 Jan 2030 19:22:50.052,4304.041
100,10 Jan 2030 20:17:32.533,10 Jan 2030 22:42:18.900,8686.367
101,10 Jan 2030 23:27:23.413,11 Jan 2030 00:41:18.597,4435.184
102,11 Jan 2030 01:37:16.485,11 Jan 2030 02:50:06.360,4369.875
103,11 Jan 2030 03:39:38.093,11 Jan 2030 06:01:41.799,8523.706
104,11 Jan 2030 06:55:22.820,11 Jan 2030 08:07:13.954,4311.134
105,11 Jan 2030 09:02:38.183,11 Jan 2030 10:23:05.401,4827.218
106,11 Jan 2030 10:42:44.242,11 Jan 2030 11:33:59.859,3075.618
107,11 Jan 2030 12:10:01.680,11 Jan 2030 13:26:04.920,4563.240
108,11 Jan 2030 14:21:51.074,11 Jan 2030 15:34:01.176,4330.101
109,11 Jan 2030 16:26:14.948,11 Jan 2030 18:47:31.680,8476.731
110,11 Jan 2030 19:39:29.642,11 Jan 2030 20:51:43.651,4334.009
111,11 Jan 2030 21:47:32.171,11 Jan 2030 23:03:14.704,4542.533
112,11 Jan 2030 23:40:47.546,12 Jan 2030 00:33:35.572,3168.026
113,12 Jan 2030 00:49:10.395,12 Jan 2030 02:10:59.505,4909.109
114,12 Jan 2030 03:06:19.959,12 Jan 2030 04:18:09.955,4309.996
115,12 Jan 2030 05:12:01.389,12 Jan 2030 07:34:15.567,8534.178
116,12 Jan 2030 08:23:21.085,12 Jan 2030 09:36:18.732,4377.647
117,12 Jan 2030 10:32:17.840,12 Jan 2030 11:46:03.644,4425.805
118,12 Jan 2030 12:31:54.882,12 Jan 2030 14:56:05.869,8650.986
119,12 Jan 2030 15:50:42.592,12 Jan 2030 17:02:27.896,4305.304
120,12 Jan 2030 17:57:20.547,12 Jan 2030 20:22:51.934,8731.387
121,12 Jan 2030 21:06:44.867,12 Jan 2030 22:20:59.438,4454.571
122,12 Jan 2030 23:16:56.921,13 Jan 2030 00:29:39.027,4362.106
123,13 Jan 2030 01:19:48.899,13 Jan 2030 03:41:30.659,8501.760
124,13 Jan 2030 04:34:57.487,13 Jan 2030 05:46:52.631,4315.144
125,13 Jan 2030 06:42:23.331,13 Jan 2030 08:01:31.743,4748.413
126,13 Jan 2030 08:25:46.063,13 Jan 2030 09:15:32.363,2986.300
127,13 Jan 2030 09:49:04.600,13 Jan 2030 11:05:46.793,4602.193
128,13 Jan 2030 12:01:30.211,13 Jan 2030 13:13:36.490,4326.279
129,13 Jan 2030 14:06:13.106,13 Jan 2030 16:27:27.285,8474.179
130,13 Jan 2030 17:19:01.624,13 Jan 2030 18:31:23.060,4341.436
131,13 Jan 2030 19:27:15.284,13 Jan 2030 20:42:32.381,4517.097
