"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,3 Jan 2030 13:52:03.781,3 Jan 2030 15:43:38.077,6694.296
2,4 Jan 2030 02:11:09.070,4 Jan 2030 05:29:47.903,11918.833
3,4 Jan 2030 14:54:43.835,4 Jan 2030 18:52:41.133,14277.298
4,5 Jan 2030 03:46:33.852,5 Jan 2030 08:07:48.525,15674.673
5,5 Jan 2030 16:42:33.569,5 Jan 2030 21:18:59.447,16585.878
6,6 Jan 2030 05:41:01.930,6 Jan 2030 10:27:47.858,17205.928
7,6 Jan 2030 18:41:08.808,6 Jan 2030 23:35:00.354,17631.546
8,7 Jan 2030 07:42:26.787,7 Jan 2030 12:41:02.341,17915.554
9,7 Jan 2030 20:44:40.243,8 Jan 2030 01:46:08.104,18087.861
10,8 Jan 2030 09:47:40.524,8 Jan 2030 14:50:25.238,18164.715
11,8 Jan 2030 22:51:23.687,9 Jan 2030 03:53:56.614,18152.927
12,9 Jan 2030 11:55:49.610,9 Jan 2030 16:56:41.108,18051.497
13,10 Jan 2030 01:01:01.987,10 Jan 2030 05:58:33.362,17851.375
14,10 Jan 2030 14:07:09.231,10 Jan 2030 18:59:22.546,17533.315
15,11 Jan 2030 03:14:26.803,11 Jan 2030 07:58:49.478,17062.675
16,11 Jan 2030 16:23:22.268,11 Jan 2030 20:56:20.444,16378.176
17,12 Jan 2030 05:34:47.255,12 Jan 2030 09:50:52.984,15365.729
18,12 Jan 2030 18:50:30.233,12 Jan 2030 22:40:17.809,13787.577
19,13 Jan 2030 08:15:19.433,13 Jan 2030 11:19:01.828,11022.396
20,13 Jan 2030 22:18:33.903,13 Jan 2030 23:15:52.403,3438.501
21,17 Jan 2030 10:42:06.155,17 Jan 2030 13:20:35.068,9508.912
22,17 Jan 2030 23:14:01.320,18 Jan 2030 02:51:21.685,13040.365
23,18 Jan 2030 12:00:46.209,18 Jan 2030 16:09:19.744,14913.534
24,19 Jan 2030 00:53:54.690,19 Jan 2030 05:21:55.254,16080.564
25,19 Jan 2030 13:50:34.552,19 Jan 2030 18:31:33.829,16859.278
26,20 Jan 2030 02:49:27.173,20 Jan 2030 07:39:20.719,17393.546
27,20 Jan 2030 15:49:51.380,20 Jan 2030 20:45:49.730,17758.350
28,21 Jan 2030 04:51:24.024,21 Jan 2030 09:51:19.637,17995.613
29,21 Jan 2030 17:53:51.888,21 Jan 2030 22:56:00.887,18128.998
30,22 Jan 2030 06:57:07.972,22 Jan 2030 11:59:58.623,18170.651
31,22 Jan 2030 20:01:09.796,23 Jan 2030 01:03:13.982,18124.185
32,23 Jan 2030 09:05:58.865,23 Jan 2030 14:05:44.379,17985.515
33,23 Jan 2030 22:11:41.044,24 Jan 2030 03:07:22.941,17741.897
34,24 Jan 2030 11:18:28.028,24 Jan 2030 16:07:56.799,17368.771
35,25 Jan 2030 00:26:40.768,25 Jan 2030 05:07:03.378,16822.610
36,25 Jan 2030 13:36:56.983,25 Jan 2030 18:04:02.196,16025.213
37,26 Jan 2030 02:50:29.752,26 Jan 2030 06:57:34.848,14825.097
38,26 Jan 2030 16:10:03.571,26 Jan 2030 19:44:45.159,12881.588
39,27 Jan 2030 05:44:16.888,27 Jan 2030 08:16:25.056,9128.168

