"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2030 04:00:00.000,9 Jan 2030 09:43:18.143,711798.143
2,9 Jan 2030 10:27:56.214,9 Jan 2030 22:50:20.282,44544.068
3,9 Jan 2030 23:51:00.233,10 Jan 2030 12:01:28.455,43828.222
4,10 Jan 2030 13:09:11.474,11 Jan 2030 01:15:17.598,43566.124
5,11 Jan 2030 02:24:15.035,11 Jan 2030 14:31:37.000,43641.965
6,11 Jan 2030 15:36:39.900,12 Jan 2030 03:50:57.628,44057.728
7,12 Jan 2030 04:46:12.253,12 Jan 2030 17:15:32.397,44960.144
8,12 Jan 2030 17:50:55.825,23 Jan 2030 19:36:30.863,956735.038
9,23 Jan 2030 20:24:46.869,24 Jan 2030 08:45:22.248,44435.379
10,24 Jan 2030 09:49:04.828,24 Jan 2030 21:58:45.160,43780.331
11,24 Jan 2030 23:08:29.169,25 Jan 2030 11:15:47.924,43638.756
12,25 Jan 2030 12:24:14.609,26 Jan 2030 00:37:09.286,43974.677
13,26 Jan 2030 01:36:06.988,26 Jan 2030 14:06:22.565,45015.577
14,26 Jan 2030 14:40:59.689,28 Jan 2030 11:00:00.000,159540.311

