"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2030 05:05:32.900,1 Jan 2030 06:25:15.991,4783.091
2,1 Jan 2030 07:21:43.013,1 Jan 2030 08:48:32.190,5209.177
3,1 Jan 2030 09:37:52.329,1 Jan 2030 11:08:09.540,5417.210
4,1 Jan 2030 11:57:03.875,1 Jan 2030 13:24:38.006,5254.130
5,1 Jan 2030 14:19:43.543,1 Jan 2030 15:40:18.624,4835.080
6,1 Jan 2030 17:47:39.546,1 Jan 2030 19:06:47.174,4747.628
7,1 Jan 2030 20:05:06.259,1 Jan 2030 21:30:57.733,5151.473
8,1 Jan 2030 22:20:56.276,1 Jan 2030 23:51:04.869,5408.593
9,2 Jan 2030 00:39:37.348,2 Jan 2030 02:07:58.252,5300.903
10,2 Jan 2030 03:01:40.709,2 Jan 2030 04:23:23.675,4902.966
11,2 Jan 2030 05:45:30.270,2 Jan 2030 05:56:22.160,651.890
12,2 Jan 2030 06:26:35.802,2 Jan 2030 07:47:51.614,4875.812
13,2 Jan 2030 08:48:29.724,2 Jan 2030 10:13:18.932,5089.208
14,2 Jan 2030 11:04:04.493,2 Jan 2030 12:33:55.500,5391.007
15,2 Jan 2030 13:22:15.254,2 Jan 2030 14:51:15.924,5340.670
16,2 Jan 2030 15:43:46.222,2 Jan 2030 17:06:38.553,4972.331
17,2 Jan 2030 18:14:09.117,2 Jan 2030 20:28:05.904,8036.787
18,2 Jan 2030 21:31:52.099,2 Jan 2030 22:55:35.438,5023.339
19,2 Jan 2030 23:47:16.650,3 Jan 2030 01:16:41.450,5364.801
20,3 Jan 2030 02:04:57.732,3 Jan 2030 03:34:30.466,5372.734
21,3 Jan 2030 04:25:58.151,3 Jan 2030 05:49:58.538,5040.387
22,3 Jan 2030 06:52:58.358,3 Jan 2030 09:06:14.713,7996.356
23,3 Jan 2030 10:15:11.506,3 Jan 2030 11:37:46.532,4955.026
24,3 Jan 2030 12:30:32.322,3 Jan 2030 13:59:22.820,5330.498
25,3 Jan 2030 14:47:44.908,3 Jan 2030 16:17:41.400,5396.492
26,3 Jan 2030 17:08:15.375,3 Jan 2030 18:33:20.969,5105.594
27,3 Jan 2030 19:33:26.260,3 Jan 2030 20:53:30.400,4804.140
28,3 Jan 2030 22:58:24.973,4 Jan 2030 00:19:50.932,4885.958
29,4 Jan 2030 01:13:50.999,4 Jan 2030 02:41:59.751,5288.752
30,4 Jan 2030 03:30:36.851,4 Jan 2030 05:00:48.327,5411.476
31,4 Jan 2030 05:50:37.280,4 Jan 2030 07:16:44.142,5166.862
32,4 Jan 2030 08:14:37.215,4 Jan 2030 09:33:49.257,4752.041
33,4 Jan 2030 11:41:27.031,4 Jan 2030 13:01:46.453,4819.422
34,4 Jan 2030 13:57:12.080,4 Jan 2030 15:24:32.386,5240.306
35,4 Jan 2030 16:13:33.549,4 Jan 2030 17:43:50.946,5417.396
36,4 Jan 2030 18:33:03.589,4 Jan 2030 20:00:06.832,5223.242
37,4 Jan 2030 20:56:12.018,4 Jan 2030 22:16:09.024,4797.006
38,5 Jan 2030 00:24:05.350,5 Jan 2030 01:43:29.362,4764.012
39,5 Jan 2030 02:40:34.873,5 Jan 2030 04:07:00.832,5185.959
40,5 Jan 2030 04:56:34.897,5 Jan 2030 06:26:49.045,5414.148
41,5 Jan 2030 07:15:34.239,5 Jan 2030 08:43:28.116,5273.876
42,5 Jan 2030 09:38:01.814,5 Jan 2030 10:59:03.025,4861.212
43,5 Jan 2030 13:05:39.051,5 Jan 2030 14:24:52.922,4753.871
44,5 Jan 2030 15:23:58.526,5 Jan 2030 16:49:25.085,5126.559
45,5 Jan 2030 17:39:40.695,5 Jan 2030 19:09:42.505,5401.810
46,5 Jan 2030 19:58:09.307,5 Jan 2030 21:26:47.233,5317.926
47,5 Jan 2030 22:20:01.883,5 Jan 2030 23:42:12.211,4930.328
48,6 Jan 2030 00:55:16.148,6 Jan 2030 03:05:43.570,7827.422
49,6 Jan 2030 04:07:21.943,6 Jan 2030 05:31:44.956,5063.013
50,6 Jan 2030 06:22:50.661,6 Jan 2030 07:52:31.314,5380.652
51,6 Jan 2030 08:40:48.918,6 Jan 2030 10:10:03.555,5354.637
52,6 Jan 2030 11:02:09.522,6 Jan 2030 12:25:29.140,4999.618
53,6 Jan 2030 13:31:03.845,6 Jan 2030 15:45:27.544,8063.699
54,6 Jan 2030 16:50:43.662,6 Jan 2030 18:13:59.971,4996.309
55,6 Jan 2030 19:06:04.415,6 Jan 2030 20:35:15.528,5351.113
56,6 Jan 2030 21:23:33.209,6 Jan 2030 22:53:16.566,5383.357
57,6 Jan 2030 23:44:23.148,7 Jan 2030 01:08:50.046,5066.898
58,7 Jan 2030 02:10:40.212,7 Jan 2030 04:21:44.139,7863.927
59,7 Jan 2030 05:34:01.487,7 Jan 2030 06:56:09.228,4927.740
60,7 Jan 2030 07:49:21.502,7 Jan 2030 09:17:55.273,5313.771
61,7 Jan 2030 10:06:22.282,7 Jan 2030 11:36:25.820,5403.538
62,7 Jan 2030 12:26:41.854,7 Jan 2030 13:52:12.687,5130.833
63,7 Jan 2030 14:51:26.644,7 Jan 2030 16:10:46.229,4759.586
64,7 Jan 2030 18:17:11.780,7 Jan 2030 19:38:11.157,4859.376
65,7 Jan 2030 20:32:41.375,7 Jan 2030 22:00:30.696,5269.321
66,7 Jan 2030 22:49:16.166,8 Jan 2030 00:19:30.957,5414.792
67,8 Jan 2030 01:09:05.173,8 Jan 2030 02:35:35.575,5190.402
68,8 Jan 2030 03:32:47.198,8 Jan 2030 04:52:12.786,4765.588
69,8 Jan 2030 07:00:07.401,8 Jan 2030 08:20:03.107,4795.706
70,8 Jan 2030 09:16:03.398,8 Jan 2030 10:43:01.940,5218.542
71,8 Jan 2030 11:32:14.805,8 Jan 2030 13:02:31.720,5416.915
72,8 Jan 2030 13:51:32.917,8 Jan 2030 15:18:57.607,5244.689
73,8 Jan 2030 16:14:27.696,8 Jan 2030 17:34:48.647,4820.951
74,8 Jan 2030 19:42:30.416,8 Jan 2030 21:01:40.486,4750.070
75,8 Jan 2030 21:59:26.829,8 Jan 2030 23:25:29.074,5162.245
76,9 Jan 2030 00:15:18.050,9 Jan 2030 01:45:27.937,5409.886
77,9 Jan 2030 02:34:05.093,9 Jan 2030 04:02:17.925,5292.832
78,9 Jan 2030 04:56:21.180,9 Jan 2030 06:17:49.284,4888.104
79,9 Jan 2030 08:23:03.465,9 Jan 2030 09:42:54.749,4791.284
80,9 Jan 2030 10:42:50.742,9 Jan 2030 12:07:52.033,5101.291
