"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2030 04:00:00.000,1 Jan 2030 04:46:27.061,2787.061
2,1 Jan 2030 05:43:00.667,1 Jan 2030 07:09:41.151,5200.484
3,1 Jan 2030 08:00:30.937,1 Jan 2030 09:29:42.737,5351.800
4,1 Jan 2030 10:21:10.786,1 Jan 2030 11:46:44.292,5133.507
5,1 Jan 2030 12:45:19.263,1 Jan 2030 14:05:18.107,4798.844
6,1 Jan 2030 16:08:09.454,1 Jan 2030 17:28:10.396,4800.942
7,1 Jan 2030 18:26:14.157,1 Jan 2030 19:52:05.109,5150.952
8,1 Jan 2030 20:43:22.671,1 Jan 2030 22:12:35.830,5353.158
9,1 Jan 2030 23:03:33.608,2 Jan 2030 00:29:58.006,5184.397
10,2 Jan 2030 01:26:58.150,2 Jan 2030 02:47:17.324,4819.174
11,2 Jan 2030 04:49:07.874,2 Jan 2030 06:09:36.410,4828.536
12,2 Jan 2030 07:09:28.099,2 Jan 2030 08:34:25.149,5097.050
13,2 Jan 2030 09:26:18.836,2 Jan 2030 10:55:24.386,5345.550
14,2 Jan 2030 11:46:00.381,2 Jan 2030 13:13:10.528,5230.147
15,2 Jan 2030 14:08:49.917,2 Jan 2030 15:29:55.187,4865.270
16,2 Jan 2030 17:21:42.877,2 Jan 2030 18:50:33.789,5330.912
17,2 Jan 2030 19:52:41.196,2 Jan 2030 21:16:41.136,5039.941
18,2 Jan 2030 22:09:19.165,2 Jan 2030 23:38:08.336,5329.170
19,3 Jan 2030 00:28:31.220,3 Jan 2030 01:56:21.002,5269.782
20,3 Jan 2030 02:50:50.591,3 Jan 2030 04:12:51.217,4920.626
21,3 Jan 2030 05:23:01.586,3 Jan 2030 07:30:36.910,7655.324
22,3 Jan 2030 08:35:51.640,3 Jan 2030 09:58:52.664,4981.024
23,3 Jan 2030 10:52:23.295,3 Jan 2030 12:20:47.705,5304.410
24,3 Jan 2030 13:11:06.292,3 Jan 2030 14:39:28.717,5302.426
25,3 Jan 2030 15:32:57.827,3 Jan 2030 16:55:56.886,4979.059
26,3 Jan 2030 18:00:59.878,3 Jan 2030 20:08:24.085,7644.207
27,3 Jan 2030 21:18:56.714,3 Jan 2030 22:40:58.919,4922.205
28,3 Jan 2030 23:35:30.744,4 Jan 2030 01:03:22.597,5271.854
29,4 Jan 2030 01:53:45.757,4 Jan 2030 03:22:33.099,5327.341
30,4 Jan 2030 04:15:10.224,4 Jan 2030 05:39:07.766,5037.542
31,4 Jan 2030 06:41:07.260,4 Jan 2030 08:08:31.801,5244.541
32,4 Jan 2030 10:01:51.873,4 Jan 2030 11:22:58.475,4866.602
33,4 Jan 2030 12:18:40.925,4 Jan 2030 13:45:53.177,5232.252
34,4 Jan 2030 14:36:29.734,4 Jan 2030 16:05:33.665,5343.931
35,4 Jan 2030 16:57:26.993,4 Jan 2030 18:22:21.215,5094.222
36,4 Jan 2030 19:22:07.139,4 Jan 2030 20:42:30.705,4823.566
37,4 Jan 2030 22:44:28.285,5 Jan 2030 00:04:48.932,4820.647
38,5 Jan 2030 01:01:53.119,5 Jan 2030 02:28:19.601,5186.482
39,5 Jan 2030 03:19:18.250,5 Jan 2030 04:48:30.043,5351.793
40,5 Jan 2030 05:39:47.729,5 Jan 2030 07:05:35.461,5147.731
41,5 Jan 2030 08:03:34.946,5 Jan 2030 09:23:34.595,4799.650
42,5 Jan 2030 11:26:24.504,5 Jan 2030 12:46:26.208,4801.705
43,5 Jan 2030 13:45:06.457,5 Jan 2030 15:10:41.979,5135.522
44,5 Jan 2030 16:02:11.240,5 Jan 2030 17:31:21.961,5350.721
45,5 Jan 2030 18:22:12.298,5 Jan 2030 19:48:49.215,5196.917
46,5 Jan 2030 20:45:19.720,5 Jan 2030 22:05:51.422,4831.702
47,6 Jan 2030 00:06:19.963,6 Jan 2030 01:27:42.964,4883.001
48,6 Jan 2030 02:28:19.839,6 Jan 2030 03:53:00.303,5080.464
49,6 Jan 2030 04:45:08.524,6 Jan 2030 06:14:09.263,5340.739
50,6 Jan 2030 07:04:40.738,6 Jan 2030 08:32:01.486,5240.747
51,6 Jan 2030 09:27:15.708,6 Jan 2030 10:48:37.258,4881.549
52,6 Jan 2030 12:06:17.183,6 Jan 2030 14:08:24.440,7327.257
53,6 Jan 2030 15:11:31.821,6 Jan 2030 16:35:14.356,5022.535
54,6 Jan 2030 17:28:09.826,6 Jan 2030 18:56:51.895,5322.068
55,6 Jan 2030 19:47:13.187,6 Jan 2030 21:15:11.465,5278.278
56,6 Jan 2030 22:09:19.609,6 Jan 2030 23:31:37.546,4937.937
57,7 Jan 2030 00:39:32.715,7 Jan 2030 02:47:54.013,7701.298
58,7 Jan 2030 03:54:40.337,7 Jan 2030 05:17:23.618,4963.281
59,7 Jan 2030 06:11:14.745,7 Jan 2030 07:39:29.892,5295.147
60,7 Jan 2030 08:29:49.816,7 Jan 2030 09:58:18.497,5308.681
61,7 Jan 2030 10:51:29.454,7 Jan 2030 12:14:45.651,4996.197
62,7 Jan 2030 13:18:34.337,7 Jan 2030 15:23:43.596,7509.260
63,7 Jan 2030 16:37:42.167,7 Jan 2030 17:59:27.102,4904.935
64,7 Jan 2030 18:54:22.777,7 Jan 2030 20:22:03.377,5260.600
65,7 Jan 2030 21:12:30.780,7 Jan 2030 22:41:22.024,5331.244
66,7 Jan 2030 23:33:44.070,8 Jan 2030 00:57:57.925,5053.855
67,8 Jan 2030 01:59:05.430,8 Jan 2030 03:21:41.703,4956.272
68,8 Jan 2030 05:20:31.663,8 Jan 2030 06:41:23.096,4851.434
69,8 Jan 2030 07:37:33.300,8 Jan 2030 09:04:32.496,5219.196
70,8 Jan 2030 09:55:16.175,8 Jan 2030 11:24:21.598,5345.422
71,8 Jan 2030 12:16:02.802,8 Jan 2030 13:41:12.106,5109.304
72,8 Jan 2030 14:40:17.687,8 Jan 2030 16:00:20.092,4802.406
73,8 Jan 2030 18:02:57.097,8 Jan 2030 19:23:08.725,4811.629
74,8 Jan 2030 20:20:45.553,8 Jan 2030 21:46:57.393,5171.840
75,8 Jan 2030 22:38:06.018,9 Jan 2030 00:07:16.861,5350.843
76,9 Jan 2030 00:58:25.342,9 Jan 2030 02:24:26.619,5161.277
77,9 Jan 2030 03:21:53.098,9 Jan 2030 04:41:59.219,4806.121
78,9 Jan 2030 06:44:26.496,9 Jan 2030 08:04:39.009,4812.514
79,9 Jan 2030 09:03:58.596,9 Jan 2030 10:29:18.140,5119.544
80,9 Jan 2030 11:21:00.218,9 Jan 2030 12:50:07.571,5347.353
81,9 Jan 2030 13:40:51.614,9 Jan 2030 15:07:40.297,5208.683
82,9 Jan 2030 16:03:43.049,9 Jan 2030 17:24:28.972,4845.923
83,9 Jan 2030 19:22:14.509,9 Jan 2030 20:45:44.692,5010.182
84,9 Jan 2030 21:47:11.238,9 Jan 2030 23:11:34.671,5063.433
85,10 Jan 2030 00:03:58.574,10 Jan 2030 01:32:53.586,5335.012
86,10 Jan 2030 02:23:21.688,10 Jan 2030 03:50:52.220,5250.532
